ABFQg,5,1
ABEUt,5,1
ABDuv,5,0
ABKZq,5,1
ABIaf,5,0
ABLNX,5,1
ABEvx,5,1
ABIVt,5,1
ABJNX,5,1
ABCIc,5,1
ABIks,5,0
ABJTb,5,1
ABJgm,5,0
ABCKX,5,0
ABFKZ,5,1
ABEju,5,0
ABEPk,5,0
ABHKQ,5,1
ABKLb,5,1
ABHMd,5,0
ABDdn,5,0
ABFbk,5,1
ABHMq,5,0
ABLdn,5,1
ABLOV,5,1
ABCiq,5,1
ABDlp,5,1
ABKeu,5,0
ABJbh,5,0
ABJPd,5,1
ABDSd,5,0
ABDUW,5,0
ABGju,5,1
ABEUY,5,0
ABDtu,5,0
ABEbu,5,1
ABGQT,5,0
ABHox,5,0
ABMQt,5,0
ABLat,5,0
ABIRv,5,0
ABKXd,5,1
ABFXf,5,1
ABJds,5,1
ABFPn,5,0
ABMQe,5,1
ABKty,5,0
ABEJR,5,0
ABCFX,5,1
ABFHa,5,0
ABDdm,5,0
ABCKr,5,0
ABHjz,5,1
ABHKo,5,0
ABLxy,5,1
ABMPQ,5,1
ABDGg,5,0
ABJUi,5,1
ABKev,5,1
ABEhv,5,0
ABKUy,5,1
ABFhq,5,0
ABDIx,5,1
ABLVy,5,1
ABGMS,5,0
ABKdt,5,1
ABFNr,5,0
ABEFw,5,0
ABHXr,5,0
ABHTl,5,0
ABMUh,5,0
ABKPd,5,0
ABCbu,5,0
ABDIv,5,1
ABCEr,5,1
ABDdh,5,1
ABGHV,5,1
ABHSu,5,0
ABCXy,5,0
ABEFW,5,0
ABCXp,5,1
ABJjs,5,0
ABLXk,5,1
ABDpz,5,1
ABDbz,5,0
ABHbm,5,0
ABFPk,5,0
ABJnx,5,0
ABCku,5,0
ABHXz,5,0
ABFSu,5,1
ABKdr,5,1
ABKXr,5,1
ABCLq,5,1
ABJZd,5,0
ABJmo,5,1
ABLnq,5,1
ABDSY,5,0
ABEko,5,1
ABKde,5,1
ABEYh,5,1
ABHJK,5,0
ABJiq,5,0
ABFaw,5,1
ABKLZ,5,1
ABKwx,5,1
ABIYe,5,0
ABKXg,5,1
ABDfl,5,1
ABCOs,5,1
ABKnu,5,1
ABKWx,5,1
ABDSZ,5,1
ABLcf,5,0
ABIWl,5,1
ABDHy,5,1
ABMRq,5,1
ABJWm,5,1
ABHai,5,0
ABDfy,5,1
ABFrt,5,0
ABJXc,5,0
ABFHT,5,1
ABHSx,5,0
ABLYv,5,0
ABFhu,5,0
ABMPx,5,1
ABGJl,5,0
ABINo,5,1
ABFRa,5,1
ABDPX,5,0
ABLMr,5,0
ABGKp,5,1
ABEJv,5,0
ABLQv,5,0
ABDcl,5,0
ABFbt,5,0
